Anio,Carrera,Sustentantes,Admitidos,Puntaje_Corte,Tasa_Rechazo,Indice_Saturacion
2019,Administración,390,360,700.0,0.07692,1.08333
2019,Antropología Social,49,44,1048.0,0.10204,1.11364
2019,Arquitectura,823,767,796.3,0.06804,1.07301
2019,Artes Visuales,164,145,704.5,0.11585,1.13103
2019,Biología,179,160,607.0,0.10615,1.11875
2019,Biología Marina,214,190,610.8,0.11215,1.12632
2019,Ciencias de la Computación,32,32,442.5,0.0,1.0
2019,Contador Público Mérida,795,766,643.0,0.03648,1.03786
2019,Derecho,1023,949,674.8,0.07234,1.07798
2019,Comercio Internacional,202,180,715.0,0.10891,1.12222
2019,Economía,121,111,645.8,0.08264,1.09009
2019,Educación Mérida,186,173,680.3,0.06989,1.07514
2019,Educación Tizimín,97,93,586.8,0.04124,1.04301
2019,Enfermería Mérida,651,595,755.0,0.08602,1.09412
2019,Enfermería Tizimín,123,116,574.8,0.05691,1.06034
2019,Enseñanza de las Matemáticas,63,59,588.8,0.06349,1.06780
2019,Enseñanza del Inglés,128,118,745.0,0.07813,1.08475
2019,Historia,53,46,566.8,0.13208,1.15217
2019,Ing. Biotecnología,161,143,819.5,0.11180,1.12587
2019,Ing. Computación,56,52,427.5,0.07143,1.07692
2019,Ing. Mecatrónica,328,294,843.0,0.10366,1.11565
2019,Ingeniería Física,188,175,875.8,0.06915,1.07429
2019,Ingeniería Industrial Logística,189,174,710.3,0.07937,1.08621
2019,Ingeniería de Software Mérida,207,193,780.3,0.06763,1.07254
2019,Ing. Energías Renovables,103,93,787.0,0.09709,1.10753
2019,Ingeniería Civil,303,284,771.5,0.06271,1.06690
2019,Ingeniería Química Industrial,162,152,642.5,0.06173,1.06579
2019,Ingeniería de Software Tizimín,21,20,490.3,0.04762,1.05
2019,Literatura Latinoamericana,52,51,651.3,0.01923,1.01961
2019,Actuaría,155,147,829.0,0.05161,1.05442
2019,Médico Cirujano,3599,3316,931.8,0.07863,1.08534
2019,Mercadotecnia,627,588,771.5,0.06220,1.06633
2019,Nutrición,304,280,738.8,0.07895,1.08571
2019,Cirujano Dentista,724,672,800.3,0.07182,1.07738
2019,Psicología,527,490,694.5,0.07021,1.07551
2019,Ing. Alimentos,39,35,766.5,0.10256,1.11429
2019,QFB,500,476,792.5,0.04800,1.05042
2019,Contador Público Tizimín,76,73,538.3,0.03947,1.04110
2019,Trabajo Social,84,80,481.3,0.04762,1.05
2019,Turismo,176,163,680.0,0.07386,1.07975
2019,Agroecología,65,57,723.8,0.12308,1.14035
2020,Administración,115,118,635.0,0.0,0.97458
2020,Artes Visuales,56,56,718.8,0.0,1.0
2020,Biología,79,80,618.0,0.0,0.9875
2020,Biología Marina,72,73,630.0,0.0,0.98630
2020,Ciencias de la Computación,30,472,804.3,0.0,0.06356
2020,Comunicación Social,50,664,653.5,0.0,0.07530
2020,Contador Público Mérida,350,351,657.0,0.0,0.99715
2020,Derecho,312,313,675.8,0.0,0.99681
2020,Arquitectura,160,161,813.5,0.0,0.99379
2020,Economía,75,75,443.0,0.0,1.0
2020,Comercio Internacional,75,75,741.3,0.0,1.0
